0	1.75	1.257041e-32	0	-319.00651
10	1.6643348	1.598117e-32	0	-317.96391
20	1.4157318	1.1956226e-32	0	-319.22406
30	1.0285459	7.2623481e-32	0	-311.38923
40	0.54070655	8.7668247e-32	0	-310.57158
50	4.9562982e-16	4.1582618e-31	0	-303.81088
60	-0.54061507	4.8207443e-31	0	-303.16886
70	-1.0281979	1.1109935e-33	0	-329.54288
80	-1.4150134	1.748763e-32	0	-317.57269
90	-1.6632087	9.5188374e-32	0	-310.21416
100	-1.74852	3.2189313e-32	0	-314.92288
110	-1.6626459	9.2560077e-32	0	-310.33576
120	-1.4140559	1.0669791e-32	0	-319.71844
130	-1.0271544	5.0676197e-32	0	-312.95196
140	-0.53988365	7.2534324e-32	0	-311.39456
150	-1.8722143e-15	1.4781529e-31	0	-308.30281
160	0.53960957	8.8349431e-32	0	-310.53796
170	1.0261118	4.9678689e-32	0	-313.0383
180	1.4119033	1.8731373e-31	0	-307.2743
190	1.6592721	7.9624513e-32	0	-310.98953
200	1.744086	2.1634758e-30	0	-296.64848
210	1.6581487	4.1474824e-30	0	-293.82215
220	1.4099921	2.0791457e-30	0	-296.82115
230	1.0240289	1.981101e-31	0	-307.03093
240	0.53814964	1.6306593e-31	0	-307.87637
250	3.625178e-15	8.726524e-32	0	-310.59159
260	-0.53769404	2.5977968e-31	0	-305.85395
270	-1.0222958	1.6189654e-32	0	-317.90762
280	-1.406414	6.747589e-31	0	-301.70851
290	-1.6525405	1.4316063e-30	0	-298.44176
300	-1.7367154	2.4206197e-31	0	-306.16073
310	-1.6508609	5.9295942e-32	0	-312.26975
320	-1.4035565	1.1330141e-31	0	-309.45765
330	-1.0191818	5.5549431e-32	0	-312.5532
340	-0.53551134	4.7524848e-32	0	-313.23079
350	-3.8188933e-15	5.7056043e-33	0	-322.43698
360	0.53487602	5.1289901e-32	0	-312.89968
370	1.016765	3.6563545e-31	0	-304.36952
380	1.3985669	4.8559853e-31	0	-303.13723
390	1.6430404	1.8133509e-30	0	-297.41518
400	1.7264374	1.3706175e-29	0	-288.63084
410	1.6408113	1.3668882e-29	0	-288.64267
420	1.3947746	1.1540229e-30	0	-299.37786
430	1.0126322	2.3097402e-30	0	-296.36437
440	0.53197917	1.164621e-30	0	-299.33815
450	4.003723e-15	1.8878043e-30	0	-297.24043
460	-0.53116664	1.956801e-30	0	-297.08453
470	-1.0095412	4.6892651e-30	0	-293.28895
480	-1.3883932	9.1356964e-30	0	-290.39258
490	-1.6308094	3.5353091e-29	0	-284.51573
500	-1.7132924	7.6878332e-07	0	-61.141961
510	-1.6280396	3.5867495e-29	0	-284.45299
520	-1.383681	9.0554737e-30	0	-290.43089
530	-1.0044059	4.9013943e-30	0	-293.0968
540	-0.52756707	1.8460317e-30	0	-297.33761
550	-4.1787193e-15	1.9790271e-30	0	-297.03548
560	0.52658053	1.2183146e-30	0	-299.14241
570	1.0006529	2.9295213e-30	0	-295.33203
580	1.375933	1.356967e-30	0	-298.67431
590	1.6158957	1.7569105e-29	0	-287.5525
600	1.6973324	1.7307903e-29	0	-287.61756
610	1.6125961	2.0516573e-30	0	-296.87895
620	1.3703194	5.7876208e-31	0	-302.375
630	0.99453532	3.6078918e-31	0	-304.42746
640	0.52229245	1.3444066e-31	0	-308.71469
650	1.0341089e-14	4.5889387e-33	0	-323.38288
660	-0.5211358	1.4807536e-31	0	-308.29517
670	-0.99013524	5.639224e-32	0	-312.48781
680	-1.3612354	3.1260025e-31	0	-305.05011
690	-1.5983582	4.4618102e-32	0	-313.50489
700	-1.6786203	5.8030633e-31	0	-302.36343
710	-1.5945418	6.9984198e-31	0	-301.55
720	-1.3547426	4.0403708e-31	0	-303.93579
730	-0.98305954	5.2281004e-32	0	-312.81656
740	-0.51617614	9.1991829e-34	0	-330.36251
750	-1.0422515e-14	8.7609544e-32	0	-310.57449
760	0.51485394	4.4989279e-32	0	-313.46891
770	0.97802968	1.2658654e-31	0	-308.97612
780	1.3443584	2.2317958e-31	0	-306.51346
790	1.5782661	5.0988141e-31	0	-302.92531
800	1.65723	4.1656652e-31	0	-303.80316
810	1.573948	3.7360329e-32	0	-314.27589
820	1.3370121	4.6265101e-32	0	-313.34746
830	0.97002378	4.1276547e-32	0	-313.84297
840	0.50924226	2.2379467e-32	0	-316.5015
850	1.0482228e-14	1.2409996e-31	0	-309.06228
860	-0.50775973	7.9563323e-32	0	-310.99287
870	-0.96438401	3.6524898e-32	0	-314.37411
880	-1.3253687	1.354605e-32	0	-318.68187
890	-1.5556987	6.3451096e-32	0	-311.97561
900	-1.6332459	4.3560435e-32	0	-313.60908
910	-1.5508959	1.1671441e-31	0	-309.32876
920	-1.3171978	1.7603389e-32	0	-317.54404
930	-0.9554795	7.596897e-33	0	-321.19364
940	-0.50151818	8.6782314e-31	0	-300.61569
950	-1.0519841e-14	6.7418619e-31	0	-301.7122
960	0.49988117	1.7449502e-31	0	-307.58217
970	0.94925207	1.209313e-31	0	-309.17461
980	1.3043412	2.948811e-32	0	-315.30353
990	1.5307451	1.787348e-32	0	-317.47791
1000	1.6067627	1.8810376e-32	0	-317.25603
1010	1.5254765	1.3974627e-32	0	-318.5466
1020	1.295378	7.1538052e-33	0	-321.45463
1030	0.93948411	3.9780397e-32	0	-314.00331
1040	0.49303439	6.7323832e-32	0	-311.71831
1050	1.0535076e-14	3.7857574e-31	0	-304.21847
1060	-0.49124936	1.9747311e-31	0	-307.04492
1070	-0.93269359	7.1578436e-33	0	-321.45218
1080	-1.2813589	2.7673146e-32	0	-315.57941
1090	-1.5035037	3.6627137e-32	0	-314.36197
1100	-1.5778849	6.6383988e-32	0	-311.77937
1110	-1.4977901	6.3855175e-32	0	-311.94804
1120	-1.2716387	2.4223161e-32	0	-316.15769
1130	-0.92210071	2.517015e-32	0	-315.99114
1140	-0.48382437	8.1009662e-32	0	-310.91463
1150	-1.6079182e-14	5.8614784e-32	0	-312.31993
1160	0.48189836	2.2857331e-32	0	-316.40974
1170	0.91477391	8.4793637e-32	0	-310.71637
1180	1.2565125	2.8142717e-32	0	-315.50634
1190	1.474082	2.0568875e-31	0	-306.86789
1200	1.5467265	5.3929805e-31	0	-302.68171
1210	1.4679461	6.0932535e-31	0	-302.15151
1220	1.2460737	2.7298885e-31	0	-305.63855
1230	0.90339793	6.9859378e-32	0	-311.55775
1240	0.47392446	1.6020841e-32	0	-317.95315
1250	1.0497879e-14	3.792577e-32	0	-314.21066
1260	-0.47186508	1.4674584e-31	0	-308.33434
1270	-0.89556376	9.0596777e-33	0	-320.42887
1280	-1.2299	6.26934e-31	0	-302.02778
1290	-1.4425961	1.380413e-30	0	-298.59991
1300	-1.5134103	2.9562899e-31	0	-305.29253
1310	-1.4360621	3.7843491e-32	0	-314.22009
1320	-1.2187838	1.7791782e-31	0	-307.49781
1330	-0.88344957	2.21584e-32	0	-316.54462
1340	-0.46337373	4.6202129e-32	0	-313.35338
1350	-1.5760276e-14	3.2416944e-33	0	-324.89228
1360	0.46118911	3.8102426e-32	0	-314.19047
1370	0.87513894	3.7183396e-31	0	-304.29651
1380	1.2016264	5.114465e-31	0	-302.912
1390	1.4091704	1.4169238e-30	0	-298.48653
1400	1.478068	1.1075126e-29	0	-289.55651
1410	1.402264	1.0731263e-29	0	-289.69349
1420	1.1898767	8.8400959e-31	0	-300.53543
1430	0.86233436	1.9041277e-30	0	-297.20304
1440	0.45221383	9.7654932e-31	0	-300.10306
1450	1.0370749e-14	1.7478128e-30	0	-297.57505
