Frequency	Signal	Power
0	1.75	1.8750347e-31
10	1.663448	6.5583169e-32
20	1.4127162	1.394725e-31
30	1.0236214	4.8607834e-32
40	0.53611089	1.8086952e-31
50	4.890599e-16	4.7128903e-32
60	-0.53031902	1.4469949e-31
70	-1.0016157	1.0109932e-31
80	-1.3673794	1.3072516e-31
90	-1.5925954	5.5422752e-32
100	-1.65723	2.2248612e-31
110	-1.5580644	4.7515854e-32
120	-1.3087059	3.1193729e-31
130	-0.93780714	1.9312935e-31
140	-0.48572276	2.6728283e-31
150	-1.6578981e-15	8.6421811e-32
160	0.46977999	5.0076659e-31
170	0.87723382	7.8961754e-32
180	1.1839112	9.2758061e-31
190	1.3630347	7.6016461e-32
200	1.4018701	7.2485458e-30
210	1.3025152	1.973772e-29
220	1.0810792	9.2537389e-30
230	0.7654021	4.2927277e-32
240	0.39161999	9.4045293e-31
250	2.5651688e-15	3.7097627e-32
260	-0.36947034	5.9326535e-31
270	-0.68124624	2.9958752e-32
280	-0.90769917	3.8695822e-31
290	-1.0315561	4.0870491e-32
300	-1.0470929	4.5227444e-31
310	-0.96001978	1.4189244e-31
320	-0.786148	2.5923751e-31
330	-0.54905702	5.3661248e-32
340	-0.27708234	1.3349388e-31
350	-1.8951037e-15	4.7778167e-32
360	0.25420534	1.9087814e-31
370	0.46213766	7.3449592e-32
380	0.60707449	1.524774e-31
390	0.68016298	6.8298981e-32
400	0.68066553	1.7407623e-31
410	0.61530698	9.5748102e-32
420	0.49687425	2.1199225e-31
430	0.3422928	6.18938e-32
440	0.17044489	1.9029573e-31
450	1.2147696e-15	1.0059371e-31
460	-0.15250001	1.9301046e-31
470	-0.27411262	7.531885e-32
480	-0.3564077	2.5665068e-31
490	-0.39578528	1.029539e-31
500	-0.39323725	2.2752237e-31
510	-0.35365414	1.3145888e-31
520	-0.28482045	1.5002794e-31
530	-0.19626012	1.7821066e-31
540	-0.098088336	2.3329406e-31
550	-7.4150925e-16	1.511729e-31
560	0.089514891	2.7382543e-31
570	0.16368599	2.570924e-31
580	0.21771039	7.8205436e-32
590	0.24877427	2.4939795e-31
600	0.25591397	1.6915986e-31
610	0.23979066	1.9756391e-31
620	0.20244587	2.0133504e-31
630	0.14708553	3.9077351e-31
640	0.07791271	8.7879147e-32
650	1.5674964e-15	4.4949786e-31
660	-0.080831661	2.4690296e-31
670	-0.15817586	3.9164416e-31
680	-0.22529444	1.9180211e-31
690	-0.27549851	6.2780242e-31
700	-0.30266764	5.4148826e-32
710	-0.30188486	5.5433825e-31
720	-0.27012888	1.2143425e-31
730	-0.20693417	6.8433594e-31
740	-0.1149092	5.1735868e-32
750	-2.4567716e-15	1.1612625e-30
760	0.12859843	5.1337506e-31
770	0.25894535	6.675804e-31
780	0.37728365	5.0014014e-31
790	0.46934677	7.421507e-31
800	0.52193201	5.096996e-31
810	0.52457544	7.2464144e-31
820	0.47112562	9.2373334e-31
830	0.36100027	4.7854306e-31
840	0.19992536	1.1030489e-30
850	4.3358533e-15	6.1690001e-31
860	-0.22099835	1.3794336e-30
870	-0.44106544	3.5408572e-31
880	-0.63607792	2.1402079e-30
890	-0.78236358	1.871891e-31
900	-0.85946401	2.7527214e-30
910	-0.85277175	1.687321e-31
920	-0.75571216	3.4222914e-30
930	-0.57116995	8.4989918e-32
940	-0.31192933	4.2335144e-30
950	-6.7982349e-15	1.9815445e-31
960	0.3351729	5.6723984e-30
970	0.65948205	5.9863988e-31
980	0.93765501	7.0245732e-30
990	1.1371128	1.6151895e-30
1000	1.2317627	8.8647639e-30
1010	1.2052824	3.9060103e-30
1020	1.0534856	1.279278e-29
1030	0.78545003	1.064513e-29
1040	0.42321284	1.8800348e-29
1050	9.2733001e-15	2.8068954e-29
1060	-0.44287683	3.3501432e-29
1070	-0.86016183	1.0722018e-28
1080	-1.2074088	1.0694471e-28
1090	-1.4458341	1.7714233e-27
1100	-1.5467265	2.5614519e-27
1110	-1.494901	6.6480597e-28
1120	-1.2907808	1.6976831e-29
1130	-0.95083049	1.1263991e-28
1140	-0.50624581	1.2671064e-30
1150	-1.7053109e-14	4.4559704e-29
1160	0.51746563	2.0802552e-31
1170	0.99345928	2.6506806e-29
1180	1.3786057	7.5974259e-31
1190	1.6321541	1.3069026e-29
1200	1.7264374	7.2801094e-31
1210	1.6499797	9.2619894e-30
1220	1.408894	1.2558289e-30
1230	1.0263984	6.0239439e-30
1240	0.54048701	1.9275124e-30
1250	1.2004788e-14	3.7045559e-30
1260	-0.54048701	1.892137e-30
1270	-1.0263984	2.319546e-30
1280	-1.408894	2.5054934e-30
1290	-1.6499797	1.8907726e-30
1300	-1.7264374	2.883601e-30
1310	-1.6321541	6.8302994e-31
1320	-1.3786057	2.1071676e-30
1330	-0.99345928	4.1983763e-31
1340	-0.51746563	2.0243471e-30
1350	-1.7459013e-14	2.677575e-31
1360	0.50624581	2.3342476e-30
1370	0.95083049	9.7289078e-32
1380	1.2907808	1.8897295e-30
1390	1.494901	4.2668849e-32
1400	1.5467265	1.7012724e-30
1410	1.4458341	8.8171306e-32
1420	1.2074088	1.5841005e-30
1430	0.86016183	1.6842508e-31
1440	0.44287683	1.3545377e-30
1450	9.9600184e-15	2.9578217e-31
1460	-0.42321284	1.1001656e-30
1470	-0.78545003	4.8270694e-31
1480	-1.0534856	7.9542729e-31
1490	-1.2052824	6.2190262e-31
1500	-1.2317627	6.4874278e-31
1510	-1.1371128	1.5234866e-30
1520	-0.93765501	2.6554246e-32
1530	-0.65948205	2.6273447e-31
1540	-0.3351729	1.2220916e-31
1550	-1.1287647e-14	5.5771843e-31
1560	0.31192933	1.2970902e-31
1570	0.57116995	6.0606718e-31
1580	0.75571216	1.1579095e-31
1590	0.85277175	8.0223171e-31
1600	0.85946401	7.3239656e-32
1610	0.78236358	1.1851477e-30
1620	0.63607792	3.1506251e-31
1630	0.44106544	3.6844651e-31
1640	0.22099835	3.3624145e-31
1650	9.8391326e-15	4.640422e-31
1660	-0.19992536	1.4555066e-31
1670	-0.36100027	3.9326855e-31
1680	-0.47112562	2.2052797e-31
1690	-0.52457544	4.6441802e-31
1700	-0.52193201	3.5165862e-31
1710	-0.46934677	2.6107557e-31
1720	-0.37728365	3.3037673e-31
1730	-0.25894535	2.4388935e-31
1740	-0.12859843	2.6883609e-31
1750	-4.3354077e-15	2.875308e-31
1760	0.1149092	3.2361703e-31
1770	0.20693417	1.4159616e-31
1780	0.27012888	3.6811036e-31
1790	0.30188486	1.167997e-31
1800	0.30266764	2.4837701e-31
1810	0.27549851	8.0969882e-32
1820	0.22529444	3.689543e-31
1830	0.15817586	4.9031156e-32
1840	0.080831661	3.4467294e-31
1850	3.7619596e-15	5.0804706e-32
1860	-0.07791271	4.1177232e-31
1870	-0.14708553	9.0068562e-32
1880	-0.20244587	3.2590324e-31
1890	-0.23979066	8.8582485e-32
1900	-0.25591397	3.6115907e-31
1910	-0.24877427	1.3939954e-31
1920	-0.21771039	3.6530677e-31
1930	-0.16368599	2.0227503e-31
1940	-0.089514891	1.9294376e-31
1950	-3.4110175e-15	1.2437547e-31
1960	0.098088336	1.7204002e-31
1970	0.19626012	2.8932716e-31
1980	0.28482045	2.2370257e-31
1990	0.35365414	3.6787269e-31
2000	0.39323725	6.4618433e-33
2010	0.39578528	1.9368302e-32
2020	0.3564077	2.2029963e-31
2030	0.27411262	4.0938643e-31
2040	0.15250001	4.1777266e-31
2050	4.0917363e-15	9.4641087e-31
2060	-0.17044489	1.6501835e-31
2070	-0.3422928	3.4367287e-32
2080	-0.49687425	3.711499e-32
2090	-0.61530698	2.3336166e-31
2100	-0.68066553	1.307381e-31
2110	-0.68016298	1.9436499e-31
2120	-0.60707449	2.8526416e-32
2130	-0.46213766	1.0890155e-31
2140	-0.25420534	4.6869598e-32
2150	-1.6003394e-14	3.904773e-31
2160	0.27708234	6.8321304e-31
2170	0.54905702	1.8706757e-31
2180	0.786148	1.8754403e-31
2190	0.96001978	7.0284504e-32
2200	1.0470929	2.5876919e-31
2210	1.0315561	2.1770191e-31
2220	0.90769917	2.2472949e-31
2230	0.68124624	1.3586482e-31
2240	0.36947034	2.9554404e-31
2250	1.8710418e-14	6.7823116e-32
2260	-0.39161999	2.0558453e-31
2270	-0.7654021	5.1629824e-32
2280	-1.0810792	2.3274614e-31
2290	-1.3025152	7.154149e-32
2300	-1.4018701	1.8495679e-31
2310	-1.3630347	1.0181902e-31
2320	-1.1839112	2.7146722e-31
2330	-0.87723382	6.1593934e-32
2340	-0.46977999	1.3566661e-31
2350	-1.8189046e-14	1.1254662e-31
2360	0.48572276	2.3602382e-31
2370	0.93780714	1.5204497e-31
2380	1.3087059	1.2289801e-31
2390	1.5580644	1.3681073e-31
2400	1.65723	1.3706563e-31
2410	1.5925954	6.3610422e-32
2420	1.3673794	7.6824819e-32
2430	1.0016157	2.1205804e-31
2440	0.53031902	6.7397427e-32
2450	3.8914433e-14	1.4594963e-31
2460	-0.53611089	4.4611271e-32
2470	-1.0236214	2.9371509e-31
2480	-1.4127162	1.216615e-31
2490	-1.663448	3.0602639e-31
2500	-1.75	3.7255063e-31
2510	-1.663448	3.1504586e-31
2520	-1.4127162	8.7797677e-32
2530	-1.0236214	2.0635582e-31
2540	-0.53611089	7.9017628e-32
2550	-3.2992323e-14	2.412188e-31
2560	0.53031902	5.4329063e-32
2570	1.0016157	5.9990018e-32
2580	1.3673794	6.9396465e-32
2590	1.5925954	1.7495778e-32
2600	1.65723	2.0767616e-31
2610	1.5580644	2.297701e-31
2620	1.3087059	1.3719451e-31
2630	0.93780714	3.3524154e-31
2640	0.48572276	2.4490605e-31
2650	2.425238e-14	1.7067603e-31
2660	-0.46977999	2.182136e-31
2670	-0.87723382	2.0525922e-31
2680	-1.1839112	4.7894082e-31
2690	-1.3630347	5.5139241e-31
2700	-1.4018701	8.0260437e-31
2710	-1.3025152	6.1689343e-31
2720	-1.0810792	5.7472084e-31
2730	-0.7654021	2.96261e-31
2740	-0.39161999	5.4467632e-32
2750	-1.5088555e-14	3.337697e-32
2760	0.36947034	4.1410589e-32
2770	0.68124624	5.4344581e-32
2780	0.90769917	1.5587275e-31
2790	1.0315561	4.9131823e-32
2800	1.0470929	4.9522027e-32
2810	0.96001978	5.1351417e-32
2820	0.786148	2.3028606e-31
2830	0.54905702	1.0167152e-31
2840	0.27708234	7.065944e-32
2850	1.9793601e-14	1.0204225e-31
2860	-0.25420534	6.770704e-32
2870	-0.46213766	5.834026e-32
2880	-0.60707449	4.937359e-32
2890	-0.68016298	1.0497561e-31
2900	-0.68066553	6.7733405e-32
2910	-0.61530698	2.1574979e-32
2920	-0.49687425	8.4151738e-33
2930	-0.3422928	4.6522094e-31
