FM Modulation Parameters: m=10000.0, F=2000000, FMOD=20, FD=100000
Frequency	Signal	Power
3480	0.63742567	2.0798536e-28
3500	2.2156567e-06	4.1019491e-29
3520	-0.63742225	2.0300992e-28
3540	-0.98228682	1.661152e-28
3560	-0.8763078	8.8969741e-29
3580	-0.36812676	8.8522885e-29
3600	0.3090147	7.7571466e-30
3620	0.84432661	6.1658688e-29
3640	0.99211501	1.9675107e-28
3660	0.68454895	1.5106804e-28
3680	0.06279309	2.3946303e-28
3700	-0.58778313	1.1241379e-28
3720	-0.9685825	4.5814997e-29
3740	-0.9048282	2.6462865e-29
3760	-0.42578178	8.7059967e-29
3780	0.24868718	5.8000069e-29
3800	0.80901533	1.4381771e-28
3820	0.99802691	3.1915979e-29
3840	0.72897063	3.1984446e-29
3860	0.12533618	4.0450134e-29
3880	-0.53582425	2.9622435e-29
3900	-0.95105557	1.9059628e-28
3920	-0.92977763	3.5002542e-28
3940	-0.48175644	2.2789971e-29
3960	0.18737816	4.1537909e-28
3980	0.77051117	1.0617366e-28
4000	1	4.0541066e-29
4020	0.77051538	4.3492465e-29
4040	0.18738466	6.0408704e-29
4060	-0.48175064	1.2688555e-28
4080	-0.92977519	3.031318e-29
4100	-0.95105762	1.0370189e-28
4120	-0.53582985	3.1256408e-29
4140	0.1253296	3.6344534e-29
4160	0.72896608	1.663271e-29
4180	0.99802649	2.3804458e-28
4200	0.80901924	7.0045452e-29
4220	0.24869365	5.5183813e-29
4240	-0.42577573	2.9733405e-28
4260	-0.90482535	8.8400366e-29
4280	-0.96858417	9.7820654e-29
4300	-0.58778858	1.6823617e-28
4320	0.062786361	3.3795371e-28
4340	0.68454403	2.3285927e-28
4360	0.99211416	2.0968229e-29
4380	0.84433025	9.6092941e-29
4400	0.30902118	1.8555797e-28
4420	-0.3681204	1.978939e-28
4440	-0.8763045	1.9942587e-29
4460	-0.98228811	2.7101102e-28
4480	-0.63742757	1.8320716e-28
4500	-4.7090778e-06	1.6591588e-28
4520	0.63742031	4.777319e-29
4540	0.98228634	3.359313e-29
4560	0.87630904	1.3912403e-28
4580	0.36812917	1.938292e-28
4600	-0.30901221	2.0735189e-28
4620	-0.84432519	6.4952879e-29
4640	-0.99211535	1.8654624e-28
4660	-0.68455092	7.7199392e-29
4680	-0.062795806	1.1607082e-29
4700	0.58778091	2.0216187e-28
4720	0.96858181	2.3720658e-28
4740	0.9048294	3.1201311e-28
4760	0.42578433	1.3479812e-29
4780	-0.24868442	2.9798506e-29
4800	-0.80901364	5.2866644e-29
4820	-0.99802709	8.858085e-29
4840	-0.72897264	7.5449667e-29
4860	-0.12533912	3.4399833e-29
4880	0.53582172	1.7260834e-28
4900	0.95105464	8.9808466e-28
4920	0.92977875	1.0613966e-28
4940	0.48175913	4.2499997e-28
4960	-0.18737512	1.8267092e-29
4980	-0.77050917	2.7968937e-28
5000	-1	8.0692164e-29
5020	-0.77051741	3.7105052e-28
5040	-0.18738781	2.127279e-28
5060	0.48174781	1.6121916e-28
5080	0.92977399	1.2640046e-29
5100	0.95105863	3.2094711e-29
5120	0.53583265	4.6337617e-29
5140	-0.12532627	1.3089728e-28
5160	-0.72896377	4.1039632e-29
5180	-0.99802628	5.5514224e-29
5200	-0.80902127	4.590181e-29
5220	-0.24869701	1.7171994e-28
5240	0.42577256	5.5411186e-29
5260	0.90482385	1.7200491e-29
5280	0.96858505	6.1230049e-29
5300	0.58779148	4.3369723e-29
5320	-0.062782754	1.5272631e-28
5340	-0.68454137	7.9583808e-29
5360	-0.9921137	3.8309253e-29
5380	-0.84433224	1.756705e-28
5400	-0.30902473	2.7484932e-28
5420	0.3681169	7.5814967e-30
5440	0.87630267	3.0101663e-29
5460	0.98228883	9.1544988e-29
5480	0.63743054	1.3445876e-29
5500	8.5977809e-06	9.1530231e-29
5520	-0.63741729	6.8625215e-29
5540	-0.9822856	2.4333937e-29
5560	-0.87631096	5.4865158e-29
5580	-0.3681329	7.0021762e-29
5600	0.30900836	2.5366615e-28
5620	0.84432301	1.1132635e-29
5640	0.99211586	1.1142085e-28
5660	0.68455394	2.5798751e-30
5680	0.062799971	9.3607954e-30
5700	-0.58777751	3.2576327e-29
5720	-0.96858076	2.5908004e-29
5740	-0.90483121	6.3155958e-29
5760	-0.42578823	2.0460303e-29
5780	0.24868022	4.0311939e-29
5800	0.80901107	4.6887959e-28
5820	0.99802737	2.5872405e-28
5840	0.72897567	3.2424683e-28
5860	0.12534355	2.6689617e-28
5880	-0.53581792	6.0825898e-28
5900	-0.95105324	1.00042e-29
5920	-0.92978043	2.6310012e-28
5940	-0.48176317	2.2777907e-28
5960	0.18737057	8.7221666e-29
5980	0.7705062	3.0612004e-29
6000	1	2.0134091e-28
6020	0.77052043	2.5822167e-28
6040	0.1873925	6.8487169e-29
6060	-0.4817436	2.1616189e-28
6080	-0.92977221	1.4818106e-28
6100	-0.95106014	3.6151452e-29
6120	-0.5358368	8.9491057e-29
6140	0.12532137	4.2497751e-29
6160	0.72896036	1.9367446e-28
6180	0.99802596	1.6494779e-28
6200	0.80902423	1.2231838e-28
6220	0.24870193	5.9396395e-29
6240	-0.42576793	1.6544819e-28
6260	-0.90482165	1.6489558e-28
6280	-0.96858634	8.6918678e-29
6300	-0.58779571	8.1738091e-30
6320	0.0627775	2.2611154e-29
6340	0.68453751	8.3303796e-29
6360	0.99211303	1.0537191e-28
6380	0.84433512	2.0381381e-29
6400	0.30902988	3.3606279e-29
6420	-0.36811184	5.5384048e-29
6440	-0.87630003	4.8190984e-29
6460	-0.98228986	3.7105932e-29
6480	-0.63743482	2.073809e-28
6500	-1.4191828e-05	4.4592876e-28
6520	0.63741295	3.6210513e-28
6540	0.98228454	3.3139403e-29
6560	0.87631371	2.0075988e-28
6580	0.36813824	1.011461e-28
6600	-0.30900286	3.3202458e-30
6620	-0.84431989	1.1329619e-29
6640	-0.9921166	2.0576105e-28
6660	-0.68455823	1.0660027e-28
6680	-0.062805893	1.482036e-28
6700	0.58777268	4.0757252e-29
6720	0.96857926	2.0984372e-28
6740	0.90483379	9.6945762e-30
6760	0.42579374	4.6474573e-28
6780	-0.24867429	1.2249926e-28
6800	-0.80900744	1.126273e-28
6820	-0.99802776	1.6402261e-29
6840	-0.72897995	4.4879889e-29
6860	-0.12534978	1.1199573e-28
6880	0.53581259	4.7630409e-29
6900	0.95105127	1.345903e-28
6920	0.92978279	2.0329784e-28
6940	0.48176881	2.4959872e-29
6960	-0.1873642	2.9470609e-30
6980	-0.77050204	9.1924949e-29
7000	-1	1.375199e-28
7020	-0.77052464	1.2551864e-28
7040	-0.18739903	3.0501877e-31
7060	0.48173774	1.0142538e-29
7080	0.92976973	4.8728187e-29
7100	0.95106223	2.8655415e-28
7120	0.53584254	5.4587496e-28
7140	-0.12531457	4.0953088e-28
7160	-0.72895564	8.015787e-29
7180	-0.99802553	1.6743579e-29
7200	-0.80902833	8.0859266e-29
7220	-0.24870873	9.5255167e-29
7240	0.42576155	2.2978393e-29
7260	0.90481863	1.7794664e-29
7280	0.96858812	1.4077524e-29
7300	0.58780152	2.7176134e-30
7320	-0.062770291	1.849822e-28
7340	-0.68453221	1.5122253e-28
7360	-0.99211212	6.0503953e-29
7380	-0.84433906	1.4865166e-28
7400	-0.30903691	1.3374197e-29
7420	0.36810492	6.0492843e-29
7440	0.87629643	3.0123506e-28
7460	0.98229127	1.7132503e-28
7480	0.63744065	1.2129906e-28
7500	2.1801282e-05	2.5067591e-28
7520	-0.63740706	2.6963846e-28
7540	-0.9822831	2.7630074e-28
7560	-0.87631744	1.0951192e-28
7580	-0.36814548	2.3147885e-28
7600	0.30899542	9.3647551e-29
7620	0.84431567	2.2000751e-29
7640	0.99211759	1.4075339e-29
7660	0.68456404	3.1398129e-28
7680	0.062813882	3.0971393e-28
7700	-0.58776617	2.4696266e-28
7720	-0.96857725	3.1798567e-30
7740	-0.90483725	1.3078761e-28
7760	-0.42580114	6.9483905e-30
7780	0.24866632	9.2634708e-29
7800	0.80900258	3.577647e-29
7820	0.99802828	2.9877813e-29
7840	0.72898567	1.025347e-28
7860	0.12535813	3.603223e-29
7880	-0.53580545	1.5419125e-29
7900	-0.95104864	3.0909177e-29
7920	-0.92978594	6.9271352e-29
7940	-0.48177634	4.6633941e-29
7960	0.18735571	6.8525741e-29
7980	0.7704965	7.9376271e-29
8000	1	1.2167739e-28
8020	0.77053023	7.5585125e-29
8040	0.1874077	6.2745705e-29
