FSK 4GHz Parameters: F=4GHz, F1=20000, F2=40000
Frequency	Signal	Power
0	1	2.622323e-13
40000	0.80901515	2.6229705e-13
80000	0.30901102	2.6249143e-13
120000	-0.30902596	2.6281583e-13
160000	-0.80902438	2.6327089e-13
200000	-1	2.6385751e-13
240000	-0.80900591	2.6457686e-13
280000	-0.30899608	2.6543038e-13
320000	0.3090409	2.6641978e-13
360000	0.80903361	2.6754706e-13
400000	1	2.6881451e-13
440000	0.80899668	2.7022472e-13
480000	0.30898114	2.7178058e-13
520000	-0.30905584	2.7348534e-13
560000	-0.80904285	2.7534256e-13
600000	-1	2.7735617e-13
640000	-0.80898745	2.7953047e-13
680000	-0.3089662	2.8187016e-13
720000	0.30907077	2.8438034e-13
760000	0.80905208	2.8706658e-13
800000	1	2.899349e-13
840000	0.80897821	2.9299182e-13
880000	0.30895126	2.9624439e-13
920000	-0.30908571	2.9970024e-13
960000	-0.80906131	3.0336759e-13
1000000	-1	3.0725534e-13
1040000	-0.80896898	3.1137304e-13
1080000	-0.30893632	3.1573105e-13
1120000	0.30910065	3.2034051e-13
1160000	0.80907054	3.2521343e-13
1200000	1	3.303628e-13
1240000	0.80895975	3.3580262e-13
1280000	0.30892138	3.41548e-13
1320000	-0.30911559	3.4761527e-13
1360000	-0.80907977	3.5402208e-13
1400000	-0.99999999	3.6078754e-13
1440000	-0.80895051	3.679323e-13
1480000	-0.30890644	3.7547876e-13
1520000	0.30913053	3.8345118e-13
1560000	0.809089	3.9187592e-13
1600000	0.99999999	4.0078161e-13
1640000	0.80894128	4.1019939e-13
1680000	0.3088915	4.2016315e-13
1720000	-0.30914547	4.3070986e-13
1760000	-0.80909824	4.4187989e-13
1800000	-0.99999999	4.5371734e-13
1840000	-0.80893204	4.6627053e-13
1880000	-0.30887656	4.7959241e-13
1920000	0.30916041	4.9374114e-13
1960000	0.80910747	5.087807e-13
2000000	0.99999999	5.2478159e-13
2040000	0.80892281	5.4182164e-13
2080000	0.30886162	5.5998693e-13
2120000	-0.30917535	5.7937286e-13
2160000	-0.8091167	6.0008538e-13
