Frequency	Signal	Power
0	1	2.1011021e-31
10	0.9501556	2.8457366e-32
20	0.80595346	1.6342348e-31
30	0.5827825	2.9092661e-32
40	0.30434815	1.8880528e-31
50	2.766022e-16	2.9810652e-32
60	-0.29855628	1.6893101e-31
70	-0.56077675	8.5350356e-32
80	-0.76061665	1.1139213e-31
90	-0.87930305	4.7254651e-32
100	-0.90723001	1.93328e-31
110	-0.84477201	8.9008143e-32
120	-0.70194315	2.1619768e-31
130	-0.4969682	1.9453118e-31
140	-0.25396002	1.1911307e-31
150	-8.5399154e-16	1.2164685e-31
160	0.23801724	1.3539945e-31
170	0.43639488	1.535158e-31
180	0.57714844	1.5141664e-31
190	0.64974234	1.4136575e-31
200	0.6518701	6.157105e-31
210	0.58922279	2.0307317e-30
220	0.47431648	5.0424696e-31
230	0.32456316	1.3545779e-31
240	0.15985724	9.5835138e-32
250	1.0032798e-15	1.7126121e-31
260	-0.13770759	1.0927158e-31
270	-0.2404073	1.6435598e-31
280	-0.30093642	1.0068288e-31
290	-0.31826373	1.721127e-31
300	-0.29709289	1.7934169e-31
310	-0.24672739	3.2169693e-31
320	-0.17938525	2.0977491e-31
330	-0.10821808	1.1966322e-31
340	-0.045319592	8.3445394e-32
350	-2.4136631e-16	1.0568683e-31
360	0.022442592	1.5736633e-31
370	0.021298724	9.6199227e-32
380	0.00031174791	1.4868593e-31
390	-0.033129409	5.600612e-32
400	-0.069334469	2.234385e-31
410	-0.097985402	4.4013614e-32
420	-0.1098885	2.6079575e-31
430	-0.098546143	3.0376946e-32
440	-0.061317852	2.8697636e-31
450	-5.3081637e-16	3.0131031e-32
460	0.079262737	3.0052386e-31
470	0.16672632	3.0653872e-32
480	0.25035505	3.4606039e-31
490	0.3175071	3.813538e-32
500	0.35676275	3.0522207e-31
510	0.35963825	6.7796251e-32
520	0.3219423	2.3998374e-31
530	0.24457882	1.0957881e-31
540	0.13367441	2.8055235e-31
550	1.0959252e-15	1.2745024e-31
560	-0.14224786	3.4143255e-31
570	-0.27715295	2.3200075e-31
580	-0.38905235	1.6759691e-31
590	-0.46451812	2.5483543e-31
600	-0.49408603	2.1740187e-31
610	-0.47350172	2.4867218e-31
620	-0.40431688	2.3028348e-31
630	-0.2937534	5.0523306e-31
640	-0.15385004	1.3003832e-31
650	-3.0263218e-15	5.1250809e-31
660	0.15093108	1.3487141e-31
670	0.28266308	5.2692962e-31
680	0.3814683	6.2470211e-32
690	0.43779388	7.6318197e-31
700	0.44733236	1.7483442e-32
710	0.41140753	7.0782382e-31
720	0.33663386	4.7423717e-32
730	0.23390477	7.7569024e-31
740	0.11685355	5.0040838e-32
750	2.2288951e-15	1.3181745e-30
760	-0.10316431	2.4571639e-31
770	-0.18189359	7.8303733e-31
780	-0.22947909	3.7884098e-31
790	-0.24394562	8.7462267e-31
800	-0.22806799	4.9908294e-31
810	-0.18871694	8.9492854e-31
820	-0.13563713	9.0073029e-31
830	-0.079838665	6.2860059e-31
840	-0.031837387	1.1529949e-30
850	-4.4166197e-16	6.3605006e-31
860	0.010764397	1.601037e-30
870	-0.00022649811	3.475215e-31
880	-0.029315178	2.3356812e-30
890	-0.069071195	1.6462288e-31
900	-0.10946401	3.0101432e-30
910	-0.13947936	9.9635635e-32
920	-0.14894942	3.7859934e-30
930	-0.13033101	1.8636552e-32
940	-0.080166589	4.7154846e-30
950	-1.9288711e-15	1.2433746e-31
960	0.10341015	6.0684968e-30
970	0.21864311	5.589496e-31
980	0.33089226	7.6055152e-30
990	0.42382039	1.6718639e-30
1000	0.48176275	9.3109593e-30
1010	0.49199001	4.1652767e-30
1020	0.44672286	1.3159506e-29
1030	0.34461109	1.0680594e-29
1040	0.19145009	1.9108294e-29
1050	4.3120879e-15	2.8602036e-29
1060	-0.21111408	3.392944e-29
1070	-0.41932289	1.0777299e-28
1080	-0.60064602	1.0687901e-28
1090	-0.73254175	1.7714708e-27
1100	-0.79672647	2.5546792e-27
1110	-0.78160857	6.6205626e-28
1120	-0.68401804	1.6539093e-29
1130	-0.50999155	1.0971011e-28
1140	-0.27448307	1.1407571e-30
1150	-9.3355129e-15	4.3647817e-29
1160	0.28570288	5.6729902e-32
1170	0.55262034	2.4088583e-29
1180	0.77184298	4.3983043e-31
1190	0.91886174	1.3271183e-29
1200	0.97643737	7.9755534e-31
1210	0.93668728	8.6125012e-30
1220	0.8021313	1.3027365e-30
1230	0.58555946	5.5539906e-30
1240	0.30872427	1.776988e-30
1250	6.859879e-15	3.3898696e-30
1260	-0.30872427	1.803662e-30
1270	-0.58555946	2.2638332e-30
1280	-0.8021313	2.3525019e-30
1290	-0.93668728	1.6045033e-30
1300	-0.97643737	2.7740573e-30
1310	-0.91886174	5.2689745e-31
1320	-0.77184298	1.9415476e-30
1330	-0.55262034	3.4249867e-31
1340	-0.28570288	1.8417087e-30
1350	-9.5577202e-15	1.9137735e-31
1360	0.27448307	1.993307e-30
1370	0.50999155	4.4513055e-32
1380	0.68401804	1.6095019e-30
1390	0.78160857	1.343986e-32
1400	0.79672647	1.4524857e-30
1410	0.73254175	5.3819443e-32
1420	0.60064602	1.3224543e-30
1430	0.41932289	1.3091524e-31
1440	0.21111408	1.0882649e-30
1450	4.6314121e-15	2.3505002e-31
1460	-0.19145009	9.3787515e-31
1470	-0.34461109	4.1098431e-31
1480	-0.44672286	6.6897045e-31
1490	-0.49199001	5.5006263e-31
1500	-0.48176275	5.1094501e-31
1510	-0.42382039	1.2966315e-30
1520	-0.33089226	7.1304219e-32
1530	-0.21864311	1.6119828e-31
1540	-0.10341015	1.6092823e-31
1550	-3.2026574e-15	3.9579063e-31
1560	0.080166589	1.012003e-31
1570	0.13033101	4.3014334e-31
1580	0.14894942	6.5204896e-32
1590	0.13947936	5.4004955e-31
1600	0.10946401	3.0493644e-32
1610	0.069071195	5.6836518e-31
1620	0.029315178	3.7282106e-32
1630	0.00022649811	4.0962307e-31
1640	-0.010764397	7.2533077e-32
1650	-1.0022412e-15	4.4299758e-31
1660	0.031837387	7.6094362e-32
1670	0.079838665	3.1000515e-31
1680	0.13563713	9.9836085e-32
1690	0.18871694	3.2415476e-31
1700	0.22806799	1.9111238e-31
1710	0.24394562	1.4259588e-31
1720	0.22947909	2.7816678e-31
1730	0.18189359	1.7821871e-31
1740	0.10316431	2.2786816e-31
1750	3.9332793e-15	2.1382691e-31
1760	-0.11685355	2.4634727e-31
1770	-0.23390477	1.0111807e-31
1780	-0.33663386	2.6979651e-31
1790	-0.41140753	8.4106353e-32
1800	-0.44733236	2.3225277e-31
1810	-0.43779388	5.2870282e-32
1820	-0.3814683	2.9641812e-31
1830	-0.28266308	1.1626239e-32
1840	-0.15093108	2.4557299e-31
1850	-7.2631113e-15	1.3652994e-32
1860	0.15385004	2.8279904e-31
1870	0.2937534	4.3619165e-32
1880	0.40431688	2.2302037e-31
1890	0.47350172	5.1763301e-32
1900	0.49408603	2.2524979e-31
1910	0.46451812	7.3137674e-32
1920	0.38905235	2.433193e-31
1930	0.27715295	1.3073844e-31
1940	0.14224786	1.1546047e-31
1950	5.0413666e-15	6.6553817e-32
1960	-0.13367441	1.0572987e-31
1970	-0.24457882	2.0343691e-31
1980	-0.3219423	9.5953528e-32
1990	-0.35963825	2.5659995e-31
2000	-0.35676275	2.1593881e-32
2010	-0.3175071	1.1314182e-32
2020	-0.25035505	1.91149e-31
2030	-0.16672632	2.2970861e-31
2040	-0.079262737	2.2676989e-31
2050	-1.787961e-15	4.3444539e-31
2060	0.061317852	3.2472377e-32
2070	0.098546143	9.6819775e-32
